ISIN,Name,Asset class,Currency,Weight,Sector,Country
CNE100001BZ8,UNIVERSAL SCIENTIFIC INDUS-A NTH-SSE,EQUITY,CNH,0.00000486851412617518,Information Technology,China
CNE100004G74,YUNNAN BOTANEE BIO-TECHNOL-A NTH-SZSE,EQUITY,CNH,0.00000486287515575965,Consumer Staples,China
TREMAVI00037,MAVI GIYIM SANAYI VE TICA-B,EQUITY,TRY,0.00000483879025497531,Consumer Discretionary,Turkey
CNE000000M15,HUAYU AUTOMOTIVE SY NT-SS,EQUITY,CNH,0.00000482004145180913,Consumer Discretionary,China
CNE000001FG0,CHINA SOUTHERN AI A NT-SS,EQUITY,CNH,0.00000481908561131421,Industrials,China
CNE100003PS9,CHINA ZHESHANG BANK CO LTD-A NTH-SSE,EQUITY,CNH,0.0000048144024813936,Financials,China
CNE100006Z46,UNISOUND AI TECHNOLOGY CO -H,EQUITY,HKD,0.00000480474149049687,Information Technology,China
CNE1000033C7,HUIZHOU DESAY SV AUTOMOTIV-A NTH-SZSE,EQUITY,CNH,0.00000478869737397817,Consumer Discretionary,China
CNE100001NN9,CHINA INTERNATIONAL MARINE-H,EQUITY,HKD,0.000004779785423333,Industrials,China
CNE000000MS3,CNPC CAPITAL CO LTD-A,EQUITY,CNY,0.00000477498505232954,Financials,China
CNE0000011C5,HAINAN AIRLINES HOLDING CO-A NTH-SSE,EQUITY,CNH,0.00000476982481633565,Industrials,China
CNE1000047B9,ANKER INNOVATIONS TECHNOLO-A NTH-SZSE,EQUITY,CNH,0.00000475410474114317,Information Technology,China
TRETHAL00019,TURKIYE HALK BANKASI,EQUITY,TRY,0.00000475096691382849,Financials,Turkey
CNE100004454,HENAN SHIJIA PHOTONS TECHNOLOGY CO LTD,EQUITY,CNY,0.00000472318077719243,Information Technology,China
CNE1000040F5,NATIONAL SILICON INDUSTRY -A NTH-SSE,EQUITY,CNH,0.00000471827782024147,Information Technology,China
INE206F01022,AUTHUM INVESTMENT INFRASTUCT,EQUITY,INR,0.00000467684449589169,Financials,India
CNE1000010R3,GIANT NETWORK GR -A NT-SZ,EQUITY,CNH,0.00000467056232786884,Communication Services,China
CNE100003MX6,RAYTRON TECHNOLOGY CO LTD-A NTH-SSE,EQUITY,CNH,0.00000466017346524941,Information Technology,China
CNE0000011D3,YUNNAN TIN CO LTD-A NTH-SZSE,EQUITY,CNH,0.00000463104882625078,Materials,China
CNE000000S01,YUNNAN YUNTIANHUA CO-A NTH-SSE,EQUITY,CNH,0.00000462846952242802,Materials,China
TRAMRDIN91F2,OYAK CIMENTO FABRIKALARI,EQUITY,TRY,0.00000462797613287102,Materials,Turkey
CNE100001WV3,SINOMINE RESOURCE GROUP CO-A NTH-SZSE,EQUITY,CNH,0.00000459406740635266,Materials,China
CNE100000RK8,WUHAN GUIDE INFRARED CO LT-A NTH-SZSE,EQUITY,CNH,0.00000457775135565567,Information Technology,China
KR700088K015,HANWHA CORPORATION-3P,EQUITY,KRW,0.00000456940444189592,Industrials,South Korea
CNE100000FW8,SHENZHEN SALUBRI -A NT-SZ,EQUITY,CNH,0.00000456783797076114,Health Care,China
CNE100000BJ4,ZHEJIANG DAHUA TECH NT-SZ,EQUITY,CNH,0.00000455711041168013,Information Technology,China
CNE000000T83,JIANGSU ETERN CO LTD-A,EQUITY,CNY,0.00000454846225347138,Information Technology,China
CNE100005P31,CICT MOBILE COMMUNICATION -A NTH-SSE,EQUITY,CNH,0.00000454570057463085,Information Technology,China
CNE100003QK4,MAXSCEND MICROELECTRONICS -A NTH-SZSE,EQUITY,CNH,0.00000453804733727797,Information Technology,China
CNE000001M14,UNIGROUP GUOXIN MICROELECT-A NTH-SZSE,EQUITY,CNH,0.00000453257608674485,Information Technology,China
CNE1000060L1,NEXCHIP SEMICONDUCTOR CORP-A NTH-SSE,EQUITY,CNH,0.00000451589040096721,Information Technology,China
CNE100002FZ7,SHENZHEN KINWONG ELECTRONI-A NTH-SSE,EQUITY,CNH,0.00000451499318101371,Information Technology,China
INE0BS701011,PREMIER ENERGIES LTD,EQUITY,INR,0.00000450873706656483,Information Technology,India
CNE000001QQ6,BEIJING COMPASS TECHNOLOGY-A NTH-SZSE,EQUITY,CNH,0.0000044922972613915,Financials,China
TRACIMSA91F9,CIMSA CIMENTO SANAYI VE TIC,EQUITY,TRY,0.00000448200447132607,Materials,Turkey
CNE100000FD8,EVERBRIGHT SEC CO-A NT-SS,EQUITY,CNH,0.00000445634332931671,Financials,China
CNE100002JW6,SHENZHEN KEDALI INDUSTRY C-A NTH-SZSE,EQUITY,CNH,0.00000445280818499903,Consumer Discretionary,China
