ISIN,Name,Sector,Asset Class,Weight,Country,Currency
,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,Equity,0.0008,United States,USD
,CAVA GROUP INC,Consumer Discretionary,Equity,0.0008,United States,USD
,CHARLES RIVER LABORATORIES INTERNA,Health Care,Equity,0.0008,United States,USD
,SEI INVESTMENTS,Financials,Equity,0.0008,United States,USD
,KOKUSAI ELECTRIC CORP,Information Technology,Equity,0.0008,Japan,JPY
,BXP INC,Real Estate,Equity,0.0008,United States,USD
,AFFILIATED MANAGERS GROUP INC,Financials,Equity,0.0008,United States,USD
,COLUMBIA BANKING SYSTEM INC,Financials,Equity,0.0008,United States,USD
,NNN REIT INC,Real Estate,Equity,0.0008,United States,USD
,OLD NATIONAL BANCORP,Financials,Equity,0.0008,United States,USD
,AUTOLIV INC,Consumer Discretionary,Equity,0.0008,United States,USD
,AXIS CAPITAL HOLDINGS LTD,Financials,Equity,0.0008,United States,USD
,HENRY SCHEIN INC,Health Care,Equity,0.0008,United States,USD
,FIRST INDUSTRIAL REALTY TRUST INC,Real Estate,Equity,0.0008,United States,USD
,DPM METALS INC,Materials,Equity,0.0008,Canada,CAD
,RUBRIK INC CLASS A,Information Technology,Equity,0.0008,United States,USD
,MANHATTAN ASSOCIATES INC,Information Technology,Equity,0.0008,United States,USD
,EASTMAN CHEMICAL,Materials,Equity,0.0008,United States,USD
,FIRSTCASH HOLDINGS INC,Financials,Equity,0.0008,United States,USD
,ESCO TECHNOLOGIES INC,Industrials,Equity,0.0008,United States,USD
,LKQ CORP,Consumer Discretionary,Equity,0.0008,United States,USD
,MINERAL RESOURCES LTD,Materials,Equity,0.0008,Australia,AUD
,SOJITZ CORP,Industrials,Equity,0.0008,Japan,JPY
,AMKOR TECHNOLOGY INC,Information Technology,Equity,0.0008,United States,USD
,WAYFAIR INC CLASS A,Consumer Discretionary,Equity,0.0008,United States,USD
,PRAXIS PRECISION MEDICINES INC,Health Care,Equity,0.0008,United States,USD
,GAZTRANSPORT & TECHNIGAZ SA,Energy,Equity,0.0008,France,EUR
,MATCH GROUP INC,Communication Services,Equity,0.0008,United States,USD
,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Equity,0.0008,United States,USD
,NITERRA LTD,Consumer Discretionary,Equity,0.0008,Japan,JPY
,MOLINA HEALTHCARE INC,Health Care,Equity,0.0008,United States,USD
,MASIMO CORP,Health Care,Equity,0.0008,United States,USD
,STOREBRAND,Financials,Equity,0.0008,Norway,NOK
,APTARGROUP INC,Materials,Equity,0.0008,United States,USD
,YASKAWA ELECTRIC CORP,Industrials,Equity,0.0008,Japan,JPY
,WESTERN ALLIANCE,Financials,Equity,0.0008,United States,USD
,FRANKLIN RESOURCES INC,Financials,Equity,0.0008,United States,USD
,TETRA TECH INC,Industrials,Equity,0.0008,United States,USD
,UNITY SOFTWARE INC,Information Technology,Equity,0.0008,United States,USD
,KINSALE CAPITAL GROUP INC,Financials,Equity,0.0008,United States,USD
,APPLIED DIGITAL CORP,Information Technology,Equity,0.0008,United States,USD
,MOSAIC,Materials,Equity,0.0008,United States,USD
,HALOZYME THERAPEUTICS INC,Health Care,Equity,0.0008,United States,USD
,JPY CASH,Cash/Derivatives,Cash,0.0008,Japan,JPY
,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Equity,0.0008,United States,USD
,MADRIGAL PHARMACEUTICALS INC,Health Care,Equity,0.0008,United States,USD
,ROHM LTD,Information Technology,Equity,0.0008,Japan,JPY
,NATIONAL FUEL GAS,Utilities,Equity,0.0007,United States,USD
,BEZEQ ISRAELI TELECOMMUNICATION CO,Communication Services,Equity,0.0007,Israel,ILS
,ICG PLC,Financials,Equity,0.0007,United Kingdom,GBP
,IDACORP INC,Utilities,Equity,0.0007,United States,USD
,SPIE SA,Industrials,Equity,0.0007,France,EUR
,FLUOR CORP,Industrials,Equity,0.0007,United States,USD
,NKT,Industrials,Equity,0.0007,Denmark,DKK
,ALS LTD,Industrials,Equity,0.0007,Australia,AUD
,UGI CORP,Utilities,Equity,0.0007,United States,USD
,POOL CORP,Consumer Discretionary,Equity,0.0007,United States,USD
,SIMPSON MANUFACTURING INC,Industrials,Equity,0.0007,United States,USD
,CELANESE CORP,Materials,Equity,0.0007,United States,USD
,LOTTOMATICA GROUP,Consumer Discretionary,Equity,0.0007,Italy,EUR
,CYTOKINETICS INC,Health Care,Equity,0.0007,United States,USD
,ARMSTRONG WORLD INDUSTRIES INC,Industrials,Equity,0.0007,United States,USD
,IG GROUP HOLDINGS PLC,Financials,Equity,0.0007,United Kingdom,GBP
,NEXGEN ENERGY LTD,Energy,Equity,0.0007,Canada,CAD
,ENERSYS,Industrials,Equity,0.0007,United States,USD
,COMMERCIAL METALS,Materials,Equity,0.0007,United States,USD
,ELDORADO GOLD CORP,Materials,Equity,0.0007,Canada,CAD
,AGCO CORP,Industrials,Equity,0.0007,United States,USD
,OR ROYALTIES INC,Materials,Equity,0.0007,Canada,CAD
,MOLSON COORS BREWING CLASS B,Consumer Staples,Equity,0.0007,United States,USD
,HAREL INSURANCE INVESTMENTS & FINA,Financials,Equity,0.0007,Israel,ILS
,HISCOX LTD,Financials,Equity,0.0007,United Kingdom,GBP
,DIGITALOCEAN HOLDINGS INC,Information Technology,Equity,0.0007,United States,USD
,KONECRANES,Industrials,Equity,0.0007,Finland,EUR
,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,Equity,0.0007,United States,USD
,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Equity,0.0007,United States,USD
,HUT CORP,Information Technology,Equity,0.0007,United States,USD
,NOV INC,Energy,Equity,0.0007,United States,USD
